tconst	directors
tt0046593	nm7820716
tt0046593	nm0354793
tt0046593	nm0265535
tt0046593	nm0575008
tt0046593	nm0064415
tt0046593	nm0674085
tt0046593	nm0002175
tt0046593	nm0776838
tt0046593	nm0307209
tt0046593	nm0767572
tt0046593	nm0827854
tt0046593	nm0792450
tt0046593	nm0718627
tt0046593	nm0789313
tt0046593	nm0414144
tt0046593	nm0472537
tt0046593	nm0949597
tt0046593	nm0004621
tt0046593	nm0842582
tt0046593	nm0703867
tt0046593	nm0770474
tt0046593	nm0179994
tt0046593	nm0546791
tt0046593	nm0587804
tt0046593	nm0788454
tt0046593	nm0453832
tt0046593	nm0872274
tt0046593	nm0641400
tt0046593	nm0035899
tt0046637	nm0773693
tt0046637	nm0052300
tt0046637	nm0002072
tt0046637	nm0773780
tt0046637	nm0359589
tt0046637	nm0550092
tt0046637	nm0781751
tt0046637	nm0232401
tt0046637	nm1079260
tt0046637	nm0542720
tt0046637	nm0115185
tt0046637	nm0239291
tt0046637	nm0427775
tt0046637	nm0001486
tt0046637	nm0769874
tt0046637	nm0671957
tt0046637	nm3734660
tt0046637	nm0758891
tt0046637	nm0695937
tt0046637	nm0943758
tt0046637	nm0514822
tt0046643	nm0506589
tt0046643	nm0076971
tt0046643	nm0625680
tt0046855	nm0506589
tt0046864	nm0365013
tt0046912	nm0000033
tt0047296	nm0001415
tt0047396	nm0000033
tt0047478	nm0000041
tt0047522	nm0002030
tt0047702	nm0020765
tt0047702	nm0108571
tt0047702	nm0736610
tt0047702	nm0829038
tt0047702	nm0692872
tt0047702	nm0103975
tt0047702	nm0652631
tt0047702	nm0180369
tt0047702	nm0324013
tt0047702	nm0449462
tt0047702	nm0782682
tt0047702	nm0861679
tt0047702	nm0924065
tt0047702	nm0215877
tt0047702	nm0320637
tt0047702	nm0751514
tt0047702	nm0918659
tt0047745	nm0748979
tt0047745	nm0591142
tt0047745	nm0000406
tt0047745	nm0202297
tt0047745	nm0282984
tt0047745	nm0625651
tt0047745	nm0918659
tt0047745	nm0869664
tt0047745	nm0001175
tt0047745	nm0287836
tt0047745	nm0905729
tt0047745	nm0829038
tt0047745	nm0410320
tt0047745	nm0394409
tt0047745	nm0791027
tt0047745	nm0038906
tt0047745	nm0485647
tt0047745	nm0313884
tt0047768	nm0097648
tt0047768	nm0307819
tt0047768	nm0103975
tt0047768	nm0905729
tt0047768	nm0564970
tt0047768	nm0245385
tt0047768	nm0000406
tt0047768	nm0374702
tt0047768	nm0550892
tt0047768	nm0572851
tt0047768	nm0693281
tt0047768	nm0782682
tt0047768	nm0831720
tt0047768	nm0005898
tt0047768	nm0020765
tt0047768	nm0083125
tt0047768	nm0124877
tt0047768	nm0150706
tt0047768	nm0226189
tt0047768	nm0351947
tt0047768	nm0005738
tt0047768	nm0526946
tt0047768	nm0692872
tt0047768	nm0723664
tt0047768	nm0792450
tt0047768	nm0878338
tt0047768	nm0003593
tt0047810	nm0654109
tt0047852	nm0000406
tt0047858	nm0232401
tt0047961	nm0142056
tt0048028	nm0001415
tt0048067	nm0718467
tt0048302	nm0572851
tt0048317	nm0896533
tt0048371	nm1247454
tt0048378	nm0829038
tt0048462	nm0652631
tt0048545	nm0712947
tt0048562	nm0000406
tt0048728	nm0000033
tt0048883	nm0724798
tt0048893	nm0320637
tt0048893	nm0313221
tt0048893	nm0056582
tt0048893	nm0950109
tt0048893	nm0338719
tt0048893	nm0337770
tt0048893	nm0723629
tt0048893	nm0677951
tt0048893	nm0233071
tt0048893	nm0912766
tt0048893	nm0666777
tt0048893	nm0580565
tt0048893	nm0506589
tt0048893	nm0164044
tt0048893	nm0103975
tt0048893	nm0494903
tt0048893	nm0001486
tt0048893	nm0781751
tt0048893	nm0755963
tt0048893	nm0842582
tt0048893	nm0718467
tt0048893	nm0935636
tt0048893	nm0386619
tt0048893	nm0748979
tt0048893	nm0629999
tt0048893	nm0920862
tt0048893	nm0624809
tt0048893	nm0542720
tt0048893	nm0612322
tt0048893	nm0177034
tt0048893	nm0001351
tt0048893	nm0474539
tt0048893	nm0671957
tt0048893	nm0828720
tt0048893	nm0002137
tt0048893	nm0232401
tt0048893	nm0625680
tt0048893	nm0769874
tt0048893	nm0001239
tt0049189	nm0671862
tt0049261	nm0828419
tt0049408	nm0485943
tt0049456	nm0591486
tt0049456	nm0002030
tt0049473	nm0453832
tt0049572	nm0779670
tt0049669	nm0625680
tt0049833	nm0001124
tt0050013	nm0781751
tt0050013	nm0677951
tt0050013	nm0612322
tt0050013	nm0625680
tt0050013	nm0001486
tt0050013	nm0171747
tt0050013	nm0233071
tt0050013	nm0542720
tt0050013	nm0769615
tt0050013	nm0001239
tt0050013	nm0313221
tt0050013	nm0621469
tt0050013	nm0200022
tt0050013	nm0334353
tt0050013	nm0724504
tt0050031	nm0625680
tt0050083	nm0001486
tt0050105	nm0564970
tt0050212	nm0000180
tt0050259	nm0001239
tt0050318	nm0314671
tt0050318	nm0587804
tt0050318	nm0527217
tt0050320	nm0610303
tt0050419	nm0002045
tt0050468	nm0836328
tt0050641	nm0223265
tt0050678	nm0165107
tt0050695	nm0514822
tt0050695	nm0115185
tt0050783	nm0000019
tt0050976	nm0000005
tt0050986	nm0000005
tt0050988	nm0103975
tt0051036	nm0533241
tt0051201	nm0000697
tt0051312	nm0500552
tt0051312	nm0801717
tt0051312	nm0395105
tt0051312	nm0624809
tt0051312	nm0338719
tt0051312	nm0091575
tt0051312	nm0115185
tt0051312	nm0606886
tt0051312	nm3777881
tt0051312	nm0677951
tt0051312	nm0748979
tt0051312	nm0038906
tt0051312	nm0181011
tt0051312	nm0242409
tt0051312	nm0377741
tt0051312	nm0002137
tt0051312	nm0629999
tt0051312	nm0792938
tt0051312	nm0120437
tt0051312	nm0443170
tt0051312	nm0589228
tt0051312	nm0718467
tt0051344	nm0625680
tt0051523	nm0001239
tt0051625	nm0769874
tt0051680	nm0467646
tt0051739	nm0623768
tt0051763	nm0139878
tt0051808	nm0000041
tt0051929	nm0142056
tt0052128	nm0654109
tt0052236	nm0738056
tt0052237	nm0738056
tt0052238	nm0738056
tt0052239	nm0738056
tt0052240	nm0738056
tt0052241	nm0738056
tt0052311	nm0000080
tt0052357	nm0000033
tt0052365	nm0281507
tt0052458	nm0819806
tt0052458	nm0568228
tt0052458	nm0139878
tt0052458	nm0020765
tt0052458	nm0282984
tt0052511	nm0308417
tt0052511	nm0000033
tt0052511	nm0150706
tt0052511	nm1184818
tt0052511	nm0769874
tt0052511	nm0115185
tt0052511	nm0542720
tt0052511	nm0002011
tt0052511	nm0200022
tt0052511	nm0629999
tt0052511	nm0568150
tt0052511	nm0201328
tt0052511	nm0377741
tt0052511	nm0828720
tt0052511	nm0790395
tt0052511	nm1157487
tt0052511	nm0001239
tt0052511	nm0002080
tt0052511	nm0934827
tt0052511	nm0232902
tt0052511	nm0726823
tt0052511	nm0692872
tt0052511	nm0387695
tt0052511	nm0625680
tt0052618	nm0943758
tt0052628	nm0610303
tt0052630	nm0612322
tt0052647	nm0254559
tt0052730	nm0561797
tt0052856	nm0139878
tt0052857	nm0001692
tt0052866	nm0001692
tt0052874	nm0625680
tt0052931	nm0654109
tt0052952	nm0121169
tt0053125	nm0000033
tt0053137	nm0006452
tt0053172	nm0330456
tt0053303	nm0738056
tt0053304	nm0738056
tt0053305	nm0738056
tt0053343	nm0450122
tt0053384	nm0001239
tt0053405	nm0001692
tt0053581	nm0828720
tt0053722	nm0204144
tt0053723	nm0204144
tt0053779	nm0000019
tt0053827	nm0338719
tt0053946	nm0006452
tt0053966	nm0001486
tt0053974	nm0021975
tt0054015	nm0181011
tt0054028	nm0001692
tt0054057	nm0370868
tt0054062	nm0001692
tt0054084	nm0588183
tt0054087	nm0001692
tt0054087	nm0427880
tt0054215	nm0000033
tt0054319	nm0377741
tt0054331	nm0000040
tt0054338	nm0738056
tt0054339	nm0738056
tt0054340	nm0738056
tt0054452	nm0167241
tt0054513	nm0189075
tt0054513	nm0320637
tt0054513	nm0627950
tt0054513	nm0692872
tt0054513	nm0791027
tt0054513	nm0103975
tt0054513	nm0202297
tt0054513	nm0589228
tt0054513	nm0769615
tt0054513	nm0137999
tt0054513	nm0388913
tt0054513	nm0678928
tt0054513	nm0781751
tt0054513	nm0856715
tt0054513	nm0282984
tt0054513	nm0000406
tt0054513	nm0516093
tt0054513	nm0723629
tt0054513	nm0852279
tt0054513	nm0068691
tt0054513	nm0229697
tt0054513	nm0001628
tt0054513	nm0750818
tt0054513	nm0806915
tt0054513	nm0918659
tt0054532	nm0351918
tt0054532	nm0474539
tt0054532	nm0589228
tt0054532	nm0002195
tt0054532	nm0625680
tt0054532	nm0001537
tt0054532	nm0852279
tt0054532	nm0468609
tt0054532	nm0920862
tt0054532	nm0575546
tt0054532	nm0500837
tt0054532	nm0232527
tt0054532	nm0295053
tt0054532	nm0001175
tt0054532	nm0334353
tt0054532	nm0321143
tt0054532	nm0200022
tt0054532	nm0485871
tt0054532	nm0001603
tt0054532	nm0799033
tt0054532	nm0020765
tt0054532	nm0445650
tt0054532	nm0679013
tt0054532	nm0282984
tt0054532	nm0125111
tt0054532	nm0139878
tt0054532	nm0507390
tt0054532	nm0370749
tt0054532	nm0002087
tt0054532	nm0002137
tt0054645	nm0605925
tt0054654	nm0021975
tt0054698	nm0001175
tt0054749	nm0001120
tt0054754	nm0321700
tt0054794	nm0365013
tt0054796	nm0610303
tt0054994	nm0265535
tt0054996	nm0786607
tt0055031	nm0006452
tt0055130	nm0873541
tt0055131	nm0418986
tt0055132	nm0873541
tt0055203	nm0177356
tt0055250	nm0001692
tt0055281	nm0240439
tt0055314	nm0942081
tt0055334	nm0001692
tt0055387	nm0418986
tt0055433	nm0121169
tt0055443	nm0177356
tt0055476	nm0738056
tt0055477	nm0738056
tt0055663	nm0321143
tt0055663	nm0336139
tt0055663	nm0399849
tt0055663	nm0718467
tt0055663	nm0666777
tt0055663	nm0751514
tt0055663	nm0072561
tt0055663	nm0545273
tt0055663	nm0445650
tt0055663	nm0080867
tt0055663	nm0268513
tt0055663	nm0692872
tt0055663	nm0682757
tt0055663	nm0002137
tt0055663	nm0394873
tt0055663	nm0005747
tt0055663	nm0568535
tt0055685	nm0474539
tt0055685	nm0765121
tt0055685	nm0852279
tt0055685	nm0680097
tt0055685	nm0072561
tt0055685	nm0011727
tt0055685	nm0575546
tt0055685	nm0370749
tt0055685	nm0080867
tt0055685	nm0679013
tt0055685	nm0002134
tt0055685	nm0001023
tt0055685	nm0796923
tt0055685	nm0150329
tt0055685	nm0627950
tt0055704	nm0738056
tt0055808	nm0001175
tt0055929	nm0624809
tt0055952	nm0001692
tt0055961	nm0696662
tt0055989	nm0000406
tt0056033	nm0589253
tt0056152	nm0651915
tt0056199	nm0001692
tt0056250	nm0624809
tt0056266	nm0001023
tt0056295	nm0873541
tt0056324	nm0001023
tt0056359	nm0001692
tt0056373	nm0149548
tt0056374	nm0177356
tt0056398	nm0755963
tt0056441	nm0865709
tt0056476	nm0621469
tt0056508	nm0281865
tt0056523	nm0738056
tt0056525	nm0280364
tt0056578	nm0002137
tt0056590	nm0418986
tt0056687	nm0000736
tt0056754	nm0392519
tt0056754	nm0467646
tt0056754	nm0494903
tt0056754	nm0400731
tt0056754	nm0338719
tt0056754	nm0177034
tt0056754	nm0125111
tt0056754	nm0791027
tt0056754	nm0003836
tt0056754	nm0386619
tt0056754	nm0742341
tt0056792	nm0002195
tt0056792	nm0437900
tt0056792	nm0567170
tt0056792	nm0946391
tt0056792	nm0625383
tt0056792	nm0394409
tt0056792	nm0685957
tt0056792	nm0410320
tt0056792	nm0455831
tt0056792	nm0852279
tt0056792	nm0739987
tt0056792	nm0842093
tt0056792	nm0232902
tt0056792	nm0506589
tt0056792	nm0926636
tt0056792	nm0792605
tt0056792	nm0572851
tt0056792	nm0350041
tt0056792	nm0024120
tt0056792	nm1864855
tt0056792	nm0548965
tt0056792	nm0001077
tt0056792	nm0918659
tt0056792	nm0548529
tt0056792	nm0724504
tt0056792	nm0822570
tt0056792	nm0018354
tt0056792	nm0721728
tt0056792	nm0790395
tt0056792	nm0282291
tt0056798	nm0610303
tt0056801	nm0000019
tt0056809	nm0626611
tt0056923	nm0002045
tt0056980	nm0001692
tt0057010	nm0365013
tt0057157	nm0149548
tt0057201	nm0624809
tt0057255	nm0674085
tt0057260	nm0936358
tt0057345	nm0000419
tt0057413	nm0001175
tt0057451	nm0355051
tt0057456	nm0610303
tt0057526	nm0738056
tt0057585	nm0344872
tt0057668	nm0696662
tt0057671	nm0651915
tt0057672	nm0001692
tt0057817	nm0108707
tt0057828	nm0651915
tt0057850	nm0651915
tt0057856	nm0651915
tt0057867	nm0568546
tt0057874	nm0001692
tt0057877	nm0322706
tt0057927	nm0765856
tt0057947	nm3791236
tt0057959	nm0930299
tt0057959	nm0241017
tt0057976	nm0254559
tt0058015	nm0001692
tt0058035	nm0001692
tt0058078	nm0610303
tt0058116	nm0003836
tt0058141	nm3796230
tt0058141	nm3790917
tt0058180	nm0651915
tt0058302	nm0111302
tt0058335	nm0001120
tt0058385	nm0002030
tt0058568	nm0651915
tt0058613	nm0738056
tt0058614	nm0738056
tt0058640	nm0295550
tt0058640	nm0666777
tt0058746	nm0626611
tt0058836	nm0818226
tt0058836	nm0108707
tt0058836	nm0086556
tt0058836	nm0585615
tt0058836	nm0751373
tt0058836	nm0193168
tt0058836	nm0142056
tt0058836	nm0241017
tt0058836	nm0317042
tt0058836	nm0693339
tt0058836	nm0767697
tt0058836	nm0936358
tt0058836	nm0057959
tt0058836	nm0131769
tt0058836	nm0148115
tt0058836	nm0240172
tt0058836	nm0177356
tt0058836	nm0339543
tt0058836	nm0358759
tt0058836	nm0765856
tt0058836	nm0360324
tt0058836	nm0331290
tt0058836	nm0579711
tt0058836	nm0240154
tt0058836	nm0135326
tt0058836	nm0420949
tt0058836	nm0385120
tt0058836	nm0272547
tt0058853	nm0129469
tt0058853	nm0516360
tt0058853	nm0272742
tt0058853	nm0203712
tt0058853	nm0404014
tt0058853	nm0534365
tt0058853	nm0108707
tt0058853	nm0418986
tt0058853	nm0331290
tt0058853	nm0662091
tt0058853	nm0241017
tt0058853	nm0602454
tt0058853	nm0177356
tt0058853	nm0732045
tt0058853	nm0371157
tt0058853	nm0626611
tt0058853	nm0533718
tt0058853	nm0533334
tt0058853	nm0923613
tt0058853	nm0035840
tt0058853	nm0579711
tt0058853	nm0936358
tt0058853	nm0767697
tt0058853	nm0070836
tt0058853	nm0386482
tt0058853	nm1187874
tt0058853	nm0316830
tt0058853	nm0875982
tt0058853	nm0324995
tt0058853	nm0322560
tt0058853	nm0358759
tt0058853	nm0574762
tt0058853	nm0164639
tt0058853	nm0875744
tt0058853	nm0142056
tt0058853	nm0264239
tt0058853	nm1046485
tt0058853	nm0863254
tt0058853	nm0121169
tt0058853	nm0498780
tt0058853	nm0558068
tt0058853	nm0656108
tt0058853	nm0725880
tt0058853	nm0585615
tt0058853	nm0765856
tt0058853	nm0801111
tt0058853	nm0170934
tt0058853	nm1791134
tt0058853	nm0334273
tt0058853	nm0732306
tt0058853	nm0772259
tt0058853	nm0928339
tt0058853	nm0365013
tt0058853	nm0047688
tt0058853	nm0240154
tt0058853	nm0371601
tt0058853	nm0569819
tt0058853	nm0588877
tt0058853	nm0805444
tt0058853	nm0075865
tt0058853	nm0353592
tt0058853	nm0565110
tt0058893	nm0203712
tt0058900	nm0001692
tt0058908	nm0404014
tt0058914	nm0353592
tt0058916	nm0177356
tt0058927	nm0662091
tt0058931	nm0621469
tt0058937	nm0132763
tt0058984	nm0725880
tt0058989	nm0805444
tt0059011	nm0035840
tt0059020	nm0516360
tt0059047	nm0602454
tt0059048	nm0818226
tt0059053	nm0129469
tt0059061	nm0818226
tt0059086	nm0626611
tt0059092	nm0238245
tt0059158	nm0316830
tt0059165	nm0725880
tt0059191	nm0732045
tt0059198	nm0585615
tt0059225	nm0662091
tt0059230	nm0906859
tt0059286	nm0135326
tt0059333	nm0142056
tt0059396	nm0725880
tt0059420	nm0371601
tt0059450	nm0272742
tt0059451	nm0108707
tt0059461	nm0135326
tt0059476	nm0626611
tt0059510	nm0602454
tt0059513	nm0693339
tt0059523	nm0316830
tt0059537	nm0331290
tt0059566	nm0936358
tt0059569	nm0404014
tt0059571	nm0552957
tt0059591	nm0626611
tt0059658	nm0058096
tt0059708	nm0732045
tt0059717	nm0936358
tt0059749	nm0728688
tt0059751	nm0738056
tt0059752	nm0203712
tt0059753	nm0125111
tt0059759	nm0610303
tt0059808	nm0765856
tt0059822	nm0272742
tt0059830	nm0241017
tt0059847	nm0574762
tt0059849	nm0936851
tt0059854	nm0516360
tt0059886	nm0203712
tt0059956	nm0001501
tt0060028	nm0200022
tt0060028	nm0678928
tt0060028	nm0568546
tt0060028	nm0784198
tt0060028	nm0852676
tt0060028	nm0909098
tt0060028	nm0125111
tt0060028	nm0159007
tt0060028	nm0524188
tt0060028	nm0652631
tt0060028	nm0326360
tt0060028	nm0202297
tt0060028	nm0018354
tt0060028	nm0229697
tt0060028	nm0366314
tt0060028	nm0671984
